"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA",2013-10-16,1,60,47,57,-10,45.19,47,57,3,2,1,60,3,2,2,2.97,-0.98,40.16,2,2.97,4,3,-1,13.64,94.29,107.92
"ANA",2013-10-18,1,65,67,59,8,53.17,61.85,54.46,2,2,0,50,1.85,1.85,2.7,2,0.69,57.38,2.49,1.85,7,5,-2,5.13,93.75,98.88
"ANA",2013-10-20,1,60,71,62,9,53.38,71,62,6,3,3,66.67,6,3,4.76,3.15,1.61,60.2,4.76,3.15,7,9,2,12.77,91.67,104.43
"ANA",2013-10-22,1,60,68,44,24,60.71,68,44,2,4,-2,33.33,2,4,3.23,1.89,1.34,63.13,3.23,1.89,5,5,0,8,82.61,90.61
"ANA",2013-10-24,1,60,58,61,-3,48.74,58,61,1,4,-3,20,1,4,2.32,5.2,-2.89,30.82,2.32,5.2,7,4,-3,3.12,84,87.12
"ANA",2013-10-25,1,60,54,58,-4,48.21,54,58,2,1,1,66.67,2,1,2.95,2.39,0.55,55.19,2.95,2.39,4,5,1,7.14,96.3,103.44
"ANA",2013-10-27,1,60,58,42,16,58,58,42,4,3,1,57.14,4,3,2.64,1.78,0.86,59.71,2.64,1.78,1,5,4,12.5,85.71,98.21
"ANA",2013-10-29,1,60,64,50,14,56.14,64,50,3,2,1,60,3,2,3.51,2.3,1.21,60.42,3.51,2.3,3,2,-1,8.11,92.86,100.97
"ANA",2013-10-31,1,65,44,51,-7,46.32,40.62,47.08,2,2,0,50,1.85,1.85,2.27,2.15,0.12,51.31,2.09,1.99,2,4,2,8.7,91.3,100
"ANA",2013-11-02,1,60,52,40,12,56.52,52,40,6,3,3,66.67,6,3,2.19,1.66,0.53,56.84,2.19,1.66,2,3,1,20.69,82.35,103.04
"ANA",2013-11-04,1,60,42,66,-24,38.89,42,66,2,1,1,66.67,2,1,3.4,3.48,-0.08,49.45,3.4,3.48,3,2,-1,8,96.97,104.97
"ANA",2013-11-06,1,60,52,49,3,51.49,52,49,5,2,3,71.43,5,2,2.88,1.69,1.19,63.02,2.88,1.69,6,6,0,17.24,92.31,109.55
"ANA",2013-11-08,1,60,70,55,15,56,70,55,6,2,4,75,6,2,5.09,2.37,2.72,68.24,5.09,2.37,2,2,0,13.04,92.59,105.64
"ANA",2013-11-10,1,60,47,65,-18,41.96,47,65,3,1,2,75,3,1,1.92,2.39,-0.47,44.54,1.92,2.39,2,2,0,13.04,97.22,110.27
"ANA",2013-11-12,1,60,48,51,-3,48.48,48,51,2,3,-1,40,2,3,2.71,3.11,-0.4,46.56,2.71,3.11,4,3,-1,5.88,88,93.88
"ANA",2013-11-14,1,60,43,47,-4,47.78,43,47,1,5,-4,16.67,1,5,1.61,2.1,-0.49,43.38,1.61,2.1,7,7,0,4,75,79
"ANA",2013-11-15,1,65,53,54,-1,49.53,48.92,49.85,2,2,0,50,1.85,1.85,2.34,2.13,0.21,52.31,2.16,1.97,3,3,0,6.67,91.3,97.97
