Date,VH,Team,Final
1113,H,St. Louis ,4
1113,V,Buffalo ,3
1113,H,Minnesota ,6
1113,V,Arizona ,3
1113,H,Calgary ,5
1113,V,Ottawa ,4
1113,H,Edmonton ,3
1113,V,Dallas ,2
1113,H,Los Angeles ,0
1114,V,New Jersey ,1
1114,H,Washington ,0
1114,V,Columbus ,4
1114,H,Philadelphia ,3
1114,V,Pittsburgh ,2
1114,H,Toronto ,1
1114,V,Chicago ,1
1114,H,Detroit ,4
1114,V,NY Islanders ,4
1114,H,Florida ,3
1114,V,Arizona ,5
1114,H,Vancouver ,0
1115,V,Carolina ,1
1115,H,Boston ,2
1115,V,Minnesota ,2
1115,H,Dallas ,1
1115,V,Anaheim ,2
1115,H,Los Angeles ,3
1115,V,NY Rangers ,2
1115,H,Pittsburgh ,3
1115,V,Colorado ,3
1115,H,New Jersey ,2
1115,V,Philadelphia ,3
1115,H,Montreal ,6
1115,V,Toronto ,2
1115,H,Buffalo ,6
1115,V,Winnipeg ,1
1115,H,Nashville ,2
1115,V,San Jose ,1
1115,H,Columbus ,2
1115,V,NY Islanders ,2
1115,H,Tampa Bay ,5
1115,V,Washington ,1
1115,H,St. Louis ,4
1115,V,Ottawa ,2
1115,H,Calgary ,4
1116,V,Winnipeg ,3
1116,H,Minnesota ,4
1116,V,San Jose ,2
1116,H,Carolina ,0
1116,V,Dallas ,2
1116,H,Chicago ,6
1116,V,Montreal ,4
1116,H,Detroit ,1
1116,V,Florida ,6
1116,H,Anaheim ,2
1116,V,Arizona ,2
1116,H,Edmonton ,1
1117,V,Tampa Bay ,5
1117,H,NY Rangers ,1
1118,V,St. Louis ,0
1118,H,Boston ,2
1118,V,Tampa Bay ,2
1118,H,NY Islanders ,5
1118,V,Detroit ,5
1118,H,Columbus ,0
1118,V,San Jose ,1
1118,H,Buffalo ,4
1118,V,Pittsburgh ,4
1118,H,Montreal ,0
1118,V,Nashville ,9
1118,H,Toronto ,2
1118,V,New Jersey ,1
1118,H,Winnipeg ,3
1118,V,Carolina ,6
1118,H,Dallas ,4
1118,V,Anaheim ,3
1118,H,Calgary ,4
1118,V,Washington ,2
1118,H,Arizona ,1
1118,V,Florida ,2
1118,H,Los Angeles ,5
1119,V,Philadelphia ,0
1119,H,NY Rangers ,2
1119,V,Vancouver ,5
1119,H,Edmonton ,4
1120,V,Minnesota ,3
1120,H,Philadelphia ,2
1120,V,Tampa Bay ,2
1120,H,Toronto ,5
1120,V,St. Louis ,1
1120,H,Montreal ,4
1120,V,Nashville ,2
1120,H,Ottawa ,3
1120,V,Detroit ,4
1120,H,Winnipeg ,3
1120,V,Arizona ,1
1120,H,Dallas ,3
1120,V,Chicago ,4
1120,H,Calgary ,3
1120,V,Washington ,3
1120,H,Colorado ,2
1120,V,Anaheim ,4
1120,H,Vancouver ,3
1120,V,Florida ,3
1120,H,San Jose ,2
1120,V,Carolina ,2
1120,H,Los Angeles ,3
1121,V,NY Islanders ,5
1121,H,Pittsburgh ,4
1121,V,Boston ,4
1121,H,Columbus ,3
1121,V,New Jersey ,2
1121,H,Edmonton ,0
1122,V,St. Louis ,3
1122,H,Ottawa ,2
1122,V,Minnesota ,1
1122,H,Tampa Bay ,2
1122,V,Montreal ,2
1122,H,Boston ,0
1122,V,Columbus ,2
1122,H,Philadelphia ,4
1122,V,Pittsburgh ,1
1122,H,NY Islanders ,4
1122,V,Buffalo ,2
1122,H,Washington ,1
1122,V,Detroit ,1
1122,H,Toronto ,4
1122,V,Florida ,2
1122,H,Nashville ,3
1122,V,Los Angeles ,4
1122,H,Dallas ,5
1122,V,Carolina ,3
1122,H,Colorado ,4
1122,V,Chicago ,7
1122,H,Edmonton ,1
1122,V,New Jersey ,4
1122,H,Calgary ,5
1122,V,Arizona ,4
1122,H,San Jose ,3
1123,V,St. Louis ,4
1123,H,Winnipeg ,2
1123,V,Montreal ,0
1123,H,NY Rangers ,5
1123,V,Arizona ,1
1123,H,Anaheim ,2
1123,V,Chicago ,1
1123,H,Vancouver ,4
1124,V,Pittsburgh ,3
1124,H,Boston ,2
1124,V,Philadelphia ,0
1124,H,NY Islanders ,1
1124,V,Minnesota ,4
1124,H,Florida ,1
1124,V,Ottawa ,3
1124,H,Detroit ,4
1125,V,Winnipeg ,4
1125,H,Columbus ,2
1125,V,Los Angeles ,3
1125,H,Nashville ,4
1125,V,Ottawa ,3
1125,H,St. Louis ,2
1125,V,Edmonton ,2
1125,H,Dallas ,3
1125,V,Colorado ,4
1125,H,Arizona ,3
1125,V,Calgary ,2
1125,H,Anaheim ,3
1125,V,New Jersey ,0
1125,H,Vancouver ,2
1126,V,Washington ,2
1126,H,NY Islanders ,3
1126,V,Winnipeg ,2
1126,H,Buffalo ,1
1126,V,Philadelphia ,2
1126,H,Detroit ,5
1126,V,Toronto ,3
1126,H,Pittsburgh ,4
1126,V,Carolina ,0
1126,H,Florida ,1
1126,V,NY Rangers ,3
1126,H,Tampa Bay ,4
1126,V,Los Angeles ,4
1126,H,Minnesota ,0
1126,V,Chicago ,3
1126,H,Colorado ,2
1126,V,Calgary ,2
1126,H,San Jose ,0
1127,V,Edmonton ,0
1127,H,Nashville ,1
1128,V,NY Rangers ,3
1128,H,Philadelphia ,0
1128,V,Chicago ,4
1128,H,Anaheim ,1
1128,V,NY Islanders ,2
1128,H,Washington ,5
1128,V,Montreal ,1
1128,H,Buffalo ,2
1128,V,Detroit ,5
1128,H,New Jersey ,4
1128,V,Carolina ,4
1128,H,Pittsburgh ,2
1128,V,Winnipeg ,1
1128,H,Boston ,2
1128,V,Vancouver ,5
1128,H,Columbus ,0
1128,V,Ottawa ,2
1128,H,Florida ,3
1128,V,Edmonton ,3
1128,H,St. Louis ,4
1128,V,Minnesota ,5
1128,H,Dallas ,4
1129,V,Philadelphia ,2
1129,H,NY Rangers ,5
1129,V,New Jersey ,1
1129,H,NY Islanders ,3
1129,V,Pittsburgh ,3
1129,H,Carolina ,2
1129,V,Washington ,2
1129,H,Toronto ,6
1129,V,Buffalo ,4
1129,H,Montreal ,3
1129,V,Ottawa ,1
1129,H,Tampa Bay ,4
1129,V,Columbus ,1
1129,H,Nashville ,2
1129,V,St. Louis ,3
1129,H,Minnesota ,2
1129,V,Dallas ,2
1129,H,Colorado ,5
1129,V,Chicago ,4
1129,H,Los Angeles ,1
