"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","xPDO","dPDO","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","PENT/60","PEND/60"
"ANA",2014-10-17,1,60,51,53,-2,49.04,51,53,2,1,1,66.67,2,1,2.45,3.31,-0.86,42.54,2.45,3.31,5,7,2,7.69,96.43,104.12,20,24,20,31.25,31.25,37.5,0.5,28,36,43.75,12,5,12,5,25,21,4,25,21,4.88,97.56,5.98,91.92,-1.1,5.64,97.9,6.22,41,41,0,50,41,41,26,28,-2,48.15,26,28,5,7
"ANA",2014-10-19,1,60,48,56,-8,46.15,48,56,3,0,3,100,3,0,2.24,1.64,0.59,57.64,2.24,1.64,2,3,1,12,100,112,32,12,17,52.46,27.87,19.67,0.65,38,23,62.3,7,4,7,4,27,24,3,27,24,8.11,100,6.05,96.09,2.06,3.91,102.13,9.87,37,42,-5,46.84,37,42,25,28,-3,47.17,25,28,2,3
"ANA",2014-10-22,1,60,69,53,16,56.56,69,53,4,1,3,80,4,1,3.21,2.76,0.45,53.78,3.21,2.76,3,6,3,11.76,95.65,107.42,24,16,17,42.11,29.82,28.07,0.59,36,21,63.16,10,6,10,6,22,32,-10,22,32,7.69,97.37,6.18,92.73,1.51,4.64,98.91,8.5,52,38,14,57.78,52,38,34,23,11,59.65,34,23,3,6
"ANA",2014-10-24,1,60,58,39,19,59.79,58,39,4,1,3,80,4,1,4.64,1.95,2.7,70.46,4.64,1.95,5,5,0,11.76,94.12,105.88,27,16,24,40.3,35.82,23.88,0.53,41,26,61.19,7,2,7,2,32,33,-1,32,33,8.16,96.88,9.48,93.91,-1.31,2.96,103.39,2.49,49,32,17,60.49,49,32,34,17,17,66.67,34,17,5,5
"ANA",2014-10-26,1,60,66,69,-3,48.89,66,69,1,4,-3,20,1,4,3.78,9,-5.22,29.57,3.78,9,17,18,1,2.94,89.19,92.13,36,15,22,49.32,30.14,20.55,0.62,40,33,54.79,11,3,11,3,37,21,16,37,21,1.96,92.59,7.41,83.33,-5.45,9.26,90.74,1.39,51,54,-3,48.57,51,54,34,37,-3,47.89,34,37,17,18
"ANA",2014-10-28,1,60,44,66,-22,40,44,66,1,0,1,100,1,0,1.45,2.45,-1,37.14,1.45,2.45,4,2,-2,4,100,104,13,16,27,23.21,48.21,28.57,0.32,22,34,39.29,1,4,1,4,37,16,21,37,16,2.86,100,4.13,94.9,-1.28,5.1,99.03,4.97,35,48,-13,42.17,35,48,25,38,-13,39.68,25,38,4,2
"ANA",2014-10-30,1,60,48,59,-11,44.86,48,59,0,2,-2,0,0,2,2.5,2.06,0.44,54.79,2.5,2.06,3,4,1,0,93.1,93.1,23,11,20,42.59,37.04,20.37,0.53,22,32,40.74,8,6,8,6,19,16,3,19,16,0,95.56,7.14,95.42,-7.14,0.14,102.56,-9.45,35,45,-10,43.75,35,45,24,29,-5,45.28,24,29,3,4
"ANA",2014-10-31,1,62.5,47,50,-3,48.45,45.12,48,2,1,1,66.67,1.92,0.96,1.91,1.72,0.19,52.68,1.84,1.65,7,5,-2,8.33,95.45,103.79,17,24,30,23.94,42.25,33.8,0.36,40,31,56.34,8,13,7.68,12.48,22,23,-1,21.12,22.08,5.88,97.06,5.63,94.95,0.26,2.11,100.57,3.22,34,34,0,50,32.64,32.64,24,22,2,52.17,23.04,21.12,6.72,4.8
"ANA",2014-11-02,1,60,50,36,14,58.14,50,36,3,2,1,60,3,2,4.22,0.93,3.29,81.99,4.22,0.93,3,5,2,9.09,88.89,97.98,26,16,15,45.61,26.32,28.07,0.63,26,31,45.61,3,20,3,20,23,41,-18,23,41,7.5,91.3,10.55,95.97,-3.05,-4.67,106.52,-8.54,40,23,17,63.49,40,23,33,18,15,64.71,33,18,3,5
"ANA",2014-11-05,1,62.3,67,68,-1,49.63,64.53,65.49,2,3,-1,40,1.93,2.89,3.64,2.7,0.94,57.43,3.5,2.6,3,2,-1,5.88,91.67,97.55,18,31,24,24.66,32.88,42.47,0.43,40,33,54.79,13,11,12.52,10.59,31,33,-2,29.86,31.78,3.92,94.12,7.13,94.71,-3.21,-0.6,101.85,-4.3,51,51,0,50,49.12,49.12,34,36,-2,48.57,32.74,34.67,2.89,1.93
"ANA",2014-11-07,1,65,81,52,29,60.9,74.77,48,2,2,0,50,1.85,1.85,3.74,1.78,1.96,67.79,3.45,1.64,3,4,1,5.13,92,97.13,18,23,22,28.57,34.92,36.51,0.45,29,34,46.03,14,7,12.92,6.46,42,40,2,38.77,36.92,3.33,94.29,6.23,94.93,-2.9,-0.64,101.16,-4.03,60,35,25,63.16,55.38,32.31,39,25,14,60.94,36,23.08,2.77,3.69
"ANA",2014-11-09,1,59.97,55,62,-7,47.01,55.03,62.03,1,1,0,50,1,1,2.05,2.64,-0.59,43.7,2.05,2.64,6,4,-2,4.55,97.06,101.6,18,19,28,27.69,43.08,29.23,0.39,33,32,50.77,12,4,12.01,4,28,21,7,28.02,21.01,2.78,97.96,5.69,94.61,-2.91,3.35,100.31,1.3,36,49,-13,42.35,36.02,49.03,22,34,-12,39.29,22.01,34.02,6,4
